filename,title,description,tags,round,game,map,mech,match_id
mwocomp - jvn-11f - polar highlands - r1g1 - 2026-02-21.mkv,JVN-11F on Polar Highlands | Round 1 Game 1 | MWO Competitive,"MWO Competitive Match

Round 1, Game 1
Map: Polar Highlands
Mech: JVN-11F

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",1,1,Polar Highlands,JVN-11F,29001390907328
mwocomp - bsk-6cs - hibernal rift - r1g2 - 2026-02-21.mkv,BSK-6CS on Hibernal Rift | Round 1 Game 2 | MWO Competitive,"MWO Competitive Match

Round 1, Game 2
Map: Hibernal Rift
Mech: BSK-6CS

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",1,2,Hibernal Rift,BSK-6CS,29237614109941
mwocomp - jvn-11f - hibernal rift - r1g3 - 2026-02-21.mkv,JVN-11F on Hibernal Rift | Round 1 Game 3 | MWO Competitive,"MWO Competitive Match

Round 1, Game 3
Map: Hibernal Rift
Mech: JVN-11F

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",1,3,Hibernal Rift,JVN-11F,29164599665329
mwocomp - on1-m - bearclaw ii - r1g4 - 2026-02-21.mkv,ON1-M on Bearclaw II | Round 1 Game 4 | MWO Competitive,"MWO Competitive Match

Round 1, Game 4
Map: Bearclaw II
Mech: ON1-M

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",1,4,Bearclaw II,ON1-M,29486722214436
mwocomp - on1-m - bearclaw ii - r1g5 - 2026-02-21.mkv,ON1-M on Bearclaw II | Round 1 Game 5 | MWO Competitive,"MWO Competitive Match

Round 1, Game 5
Map: Bearclaw II
Mech: ON1-M

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",1,5,Bearclaw II,ON1-M,29482427247125
mwocomp - jvn-11f - bearclaw ii - r2g1 - 2026-02-28.mkv,JVN-11F on Bearclaw II | Round 2 Game 1 | MWO Competitive,"MWO Competitive Match

Round 2, Game 1
Map: Bearclaw II
Mech: JVN-11F

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",2,1,Bearclaw II,JVN-11F,79961178477538
mwocomp - osr-4d - polar highlands - r2g2 - 2026-02-28.mkv,OSR-4D on Polar Highlands | Round 2 Game 2 | MWO Competitive,"MWO Competitive Match

Round 2, Game 2
Map: Polar Highlands
Mech: OSR-4D

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",2,2,Polar Highlands,OSR-4D,80137272137626
mwocomp - osr-4d - polar highlands - r2g3 - 2026-02-28.mkv,OSR-4D on Polar Highlands | Round 2 Game 3 | MWO Competitive,"MWO Competitive Match

Round 2, Game 3
Map: Polar Highlands
Mech: OSR-4D

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",2,3,Polar Highlands,OSR-4D,80592538673759
mwocomp - bsk-6cs - hibernal rift - r2g4 - 2026-02-28.mkv,BSK-6CS on Hibernal Rift | Round 2 Game 4 | MWO Competitive,"MWO Competitive Match

Round 2, Game 4
Map: Hibernal Rift
Mech: BSK-6CS

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",2,4,Hibernal Rift,BSK-6CS,80506639327317
mwocomp - mal-mx90 - hibernal rift - r2g5 - 2026-02-28.mkv,MAL-MX90 on Hibernal Rift | Round 2 Game 5 | MWO Competitive,"MWO Competitive Match

Round 2, Game 5
Map: Hibernal Rift
Mech: MAL-MX90

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",2,5,Hibernal Rift,MAL-MX90,80940431026597
